0.0000e+00	4.2814e+02	4.2404e+03	5.0000e-03
1.0000e+00	3.5176e+02	3.1056e+03	5.0000e-03
2.0000e+00	3.2876e+02	3.0529e+03	5.0500e-03
3.0000e+00	3.1852e+02	3.1961e+03	5.1005e-03
4.0000e+00	3.1447e+02	3.2274e+03	5.1515e-03
5.0000e+00	3.0736e+02	2.9926e+03	5.2030e-03
6.0000e+00	3.0356e+02	3.0756e+03	5.2551e-03
7.0000e+00	3.0245e+02	3.0571e+03	5.3076e-03
8.0000e+00	3.0251e+02	3.0110e+03	5.3607e-03
9.0000e+00	2.7226e+02	3.0968e+03	2.6803e-03
1.0000e+01	2.6132e+02	3.0468e+03	2.7071e-03
1.1000e+01	2.5700e+02	3.1476e+03	2.7342e-03
1.2000e+01	2.5533e+02	3.5522e+03	2.7616e-03
1.3000e+01	2.5405e+02	2.7195e+03	2.7892e-03
1.4000e+01	2.5462e+02	3.2415e+03	2.8171e-03
1.5000e+01	2.3718e+02	3.5139e+03	1.4085e-03
1.6000e+01	2.3151e+02	3.2473e+03	1.4226e-03
1.7000e+01	2.2740e+02	3.0764e+03	1.4368e-03
1.8000e+01	2.2496e+02	3.1170e+03	1.4512e-03
1.9000e+01	2.2400e+02	4.4292e+03	1.4657e-03
2.0000e+01	2.2334e+02	2.4992e+03	1.4804e-03
2.1000e+01	2.2288e+02	1.0537e+03	1.4952e-03
2.2000e+01	2.2398e+02	1.0658e+03	1.5101e-03
2.3000e+01	2.1362e+02	1.0709e+03	7.5507e-04
2.4000e+01	2.0897e+02	1.0511e+03	7.6262e-04
2.5000e+01	2.0694e+02	1.0374e+03	7.7024e-04
2.6000e+01	2.0672e+02	1.0529e+03	7.7795e-04
2.7000e+01	2.0688e+02	1.0602e+03	7.8573e-04
2.8000e+01	2.0095e+02	1.0595e+03	3.9286e-04
2.9000e+01	1.9891e+02	1.0532e+03	3.9679e-04
3.0000e+01	1.9721e+02	1.0464e+03	4.0076e-04
3.1000e+01	1.9627e+02	1.0586e+03	4.0477e-04
3.2000e+01	1.9568e+02	4.9699e+04	4.0882e-04
3.3000e+01	1.9573e+02	1.0811e+04	4.1290e-04
3.4000e+01	1.9466e+02	9.3315e+03	2.0645e-04
3.5000e+01	1.9239e+02	3.4147e+04	2.0852e-04
3.6000e+01	1.9144e+02	2.3868e+04	2.1060e-04
3.7000e+01	1.9091e+02	1.0543e+03	2.1271e-04
3.8000e+01	1.9036e+02	9.5439e+03	2.1483e-04
3.9000e+01	1.8989e+02	7.7332e+03	2.1698e-04
4.0000e+01	1.8950e+02	6.3921e+03	2.1915e-04	
