0.0000e+00	 3.6507e+01
1.0000e+00	 3.4988e+01
2.0000e+00	 3.4421e+01
3.0000e+00	 3.4110e+01
4.0000e+00	 3.3944e+01
5.0000e+00	 3.3404e+01
6.0000e+00	 3.3635e+01
7.0000e+00	 3.4039e+01
8.0000e+00	 3.3946e+01
9.0000e+00	 3.2103e+01
1.0000e+01	 3.2122e+01
1.1000e+01	 3.2330e+01
1.2000e+01	 3.2444e+01
1.3000e+01	 3.2245e+01
1.4000e+01	 3.2423e+01
1.5000e+01	 3.1798e+01
1.6000e+01	 3.1904e+01
1.7000e+01	 3.1975e+01
1.8000e+01	 3.1940e+01
1.9000e+01	 3.2095e+01
2.0000e+01	 3.2086e+01
2.1000e+01	 3.1982e+01
2.2000e+01	 3.2270e+01
2.3000e+01	 3.1867e+01
2.4000e+01	 3.1888e+01
2.5000e+01	 3.1979e+01
2.6000e+01	 3.2122e+01
2.7000e+01	 3.2059e+01
2.8000e+01	 3.1916e+01
2.9000e+01	 3.1997e+01
3.0000e+01	 3.1953e+01
3.1000e+01	 3.1974e+01
3.2000e+01	 3.1915e+01
3.3000e+01	 3.1984e+01
3.4000e+01	 3.1930e+01
3.5000e+01	 3.1939e+01
3.6000e+01	 3.1930e+01
3.7000e+01	 3.1940e+01
3.8000e+01	 3.1943e+01
3.9000e+01	 3.1971e+01
4.0000e+01	 3.1986e+01	
